,UtcTime,EventID,ProcessGuid,Protocol,Initiated,SourceIsIpv6,SourceIp,SourcePort,DestinationIsIpv6,DestinationIp,DestinationPort,FileVersion,Description,Product,Company,OriginalFileName,CommandLine,CurrentDirectory,IntegrityLevel,ParentCommandLine,Signed,Signature,SignatureStatus,collector_node_id,Image_process,ParentImage_process,SourceImage_process,TargetImage_process,TargetObject_processed,TargetFilename_file,TargetFilename_processed,ImageLoaded_dll,ImageLoaded_processed
95,2024-01-08 12:12:04.818,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
96,2024-01-08 12:12:04.818,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
97,2024-01-08 12:12:05.305,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
98,2024-01-08 12:12:05.307,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
99,2024-01-08 12:12:08.083,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
100,2024-01-08 12:12:08.089,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
101,2024-01-08 12:12:08.583,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
102,2024-01-08 12:12:08.586,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
103,2024-01-08 12:12:12.395,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
104,2024-01-08 12:12:12.397,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
105,2024-01-08 12:12:12.836,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
106,2024-01-08 12:12:12.836,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
107,2024-01-08 12:12:16.805,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
108,2024-01-08 12:12:16.809,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
109,2024-01-08 12:12:17.242,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
110,2024-01-08 12:12:17.246,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
111,2024-01-08 12:12:19.578,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
112,2024-01-08 12:12:19.582,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
113,2024-01-08 12:12:20.015,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
114,2024-01-08 12:12:20.019,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
115,2024-01-08 12:12:22.182,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
116,2024-01-08 12:12:22.185,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
117,2024-01-08 12:12:25.454,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
118,2024-01-08 12:12:25.457,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
119,2024-01-08 12:12:28.729,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
120,2024-01-08 12:12:28.731,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
121,2024-01-08 12:12:32.376,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
122,2024-01-08 12:12:32.376,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
123,2024-01-08 12:12:36.357,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
